BATCH_DRY_RUN plugins=16 ok=16 failed=0
JSON=artifacts/wordpress-plugin-dry-run-batch-2026-03-12-171126.json
TXT=artifacts/wordpress-plugin-dry-run-batch-2026-03-12-171126.txt

DETAILS:
persistent-podcast-player | 1.0.0 | ok
themisdb-architecture-diagrams | 1.1.0 | ok
themisdb-benchmark-visualizer | 1.0.0 | ok
themisdb-compendium-downloads | 1.0.0 | ok
themisdb-docker-downloads | 1.0.0 | ok
themisdb-downloads | 1.2.0 | ok
themisdb-feature-matrix | 1.0.0 | ok
themisdb-formula-renderer | 1.1.0 | ok
themisdb-gallery | 1.0.1 | ok
themisdb-order-request | 1.0.0 | ok
themisdb-query-playground | 1.0.0 | ok
themisdb-release-timeline | 1.0.0 | ok
themisdb-taxonomy-manager | 1.0.0 | ok
themisdb-tco-calculator | 1.0.0 | ok
themisdb-test-dashboard | 1.0.0 | ok
themisdb-wiki-integration | 1.0.1 | ok
