BATCH_RELEASE total=16 created=3 exists=6 failed=7
JSON=artifacts/wordpress-plugin-release-batch-2026-03-12-173006.json
TXT=artifacts/wordpress-plugin-release-batch-2026-03-12-173006.txt

DETAILS:
persistent-podcast-player |  | failed | 
themisdb-architecture-diagrams | 1.1.0 | exists | themisdb-architecture-diagrams/v1.1.0
themisdb-benchmark-visualizer |  | failed | 
themisdb-compendium-downloads | 1.0.0 | exists | themisdb-compendium-downloads/v1.0.0
themisdb-docker-downloads | 1.0.0 | exists | themisdb-docker-downloads/v1.0.0
themisdb-downloads | 1.2.0 | exists | themisdb-downloads/v1.2.0
themisdb-feature-matrix | 1.0.0 | created | themisdb-feature-matrix/v1.0.0
themisdb-formula-renderer | 1.1.0 | exists | themisdb-formula-renderer/v1.1.0
themisdb-gallery | 1.0.1 | created | themisdb-gallery/v1.0.1
themisdb-order-request | 1.0.0 | exists | themisdb-order-request/v1.0.0
themisdb-query-playground |  | failed | 
themisdb-release-timeline |  | failed | 
themisdb-taxonomy-manager |  | failed | 
themisdb-tco-calculator |  | failed | 
themisdb-test-dashboard |  | failed | 
themisdb-wiki-integration | 1.0.1 | created | themisdb-wiki-integration/v1.0.1
